Extracted_Name,Novel,Decision
孔明,TK,诸葛亮
玄德曰,TK,NOISE
張飛,TK,张飞
魏兵,TK,NOISE
呂布,TK,吕布
孫權,TK,孙权
夏侯,TK,NOISE
馬超,TK,马超
文武,TK,NOISE
關公,TK,关羽
吳兵,TK,NOISE
劉璋,TK,刘璋
諸葛,TK,NOISE
吳侯,TK,孙权
張翼德,TK,张飞
公瑾,TK,周瑜
武侯,TK,诸葛亮
阿斗,TK,刘禅
魏王,TK,曹操
劉玄德,TK,刘备
安民,TK,NOISE
韓遂,TK,韩遂
龐統,TK,庞统
漢中王,TK,刘备
士卒,TK,NOISE
太尉,TK,NOISE
子敬,TK,鲁肃
雲長,TK,关羽
仲達,TK,司马懿
鳳雛,TK,庞统
黃公覆,TK,黄盖
袁本初,TK,袁绍
劉景升,TK,刘表
孫權權,TK,NOISE
呂布布,TK,NOISE
馬懿懿,TK,NOISE
曹丞相,TK,曹操
太后,TK,NOISE
伏兵,TK,NOISE
侍中,TK,NOISE
王允,TK,王允
陳登,TK,陈登
郭嘉,TK,郭嘉
周倉,TK,周仓
顏良,TK,颜良
明公,TK,NOISE
曹公,TK,曹操
左將軍,TK,NOISE
同宗,TK,NOISE
董太后,TK,董太后
宋江,WM,宋江
武松,WM,武松
林沖,WM,林冲
魯智深,WM,鲁智深
李逵,WM,李逵
高太尉,WM,高俅
公孫勝,WM,公孙胜
花榮,WM,花荣
柴進,WM,柴进
吳用,WM,吴用
那婦人,WM,NOISE
左右,WM,NOISE
官軍,WM,NOISE
及時雨,WM,宋江
智多星,WM,吴用
黑旋風,WM,李逵
豹子頭,WM,林冲
花和尚,WM,鲁智深
行者武松,WM,武松
呼保義,WM,宋江
金翠蓮,WM,金翠莲
楊志,WM,杨志
燕青,WM,燕青
軍師,WM,NOISE
天王,WM,NOISE
晁蓋,WM,晁盖
戴宗,WM,戴宗
朱同,WM,朱仝
娘子,WM,NOISE
孫二娘,WM,孙二娘
顧大嫂,WM,顾大嫂
小人,WM,NOISE
弓弩,WM,NOISE
梁山,WM,NOISE
頭領,WM,NOISE
王婆,WM,王婆
潘金蓮,WM,潘金莲
西門慶,WM,西门庆
石秀,WM,石秀
解珍,WM,解珍
史進,WM,史进
穆弘,WM,穆弘
張順,WM,张顺
阮小七,WM,阮小七
蕭讓,WM,萧让
大名府,WM,NOISE
好漢,WM,NOISE
軍馬,WM,NOISE
兄弟,WM,NOISE
聞言,WM,NOISE
唐僧,JW,唐僧
沙僧,JW,沙悟净
孫大聖,JW,孙悟空
王道,JW,NOISE
玉帝,JW,玉皇大帝
老孫,JW,孙悟空
唐王,JW,李世民
玄奘,JW,唐僧
老君,JW,太上老君
李天王,JW,李靖
花果山,JW,NOISE
那道士,JW,NOISE
美猴王,JW,孙悟空
唐三藏,JW,唐僧
牛王,JW,牛魔王
龍王,JW,NOISE
童子,JW,NOISE
羅剎,JW,铁扇公主
三太子,JW,NOISE
老龍,JW,NOISE
小龍,JW,NOISE
神僧,JW,NOISE
馬溫,JW,NOISE
真君,JW,NOISE
金蟬子,JW,唐僧
唐長老,JW,唐僧
釋迦,JW,释迦牟尼
玉皇,JW,玉皇大帝
文武,JW,NOISE
那國王,JW,NOISE
白馬,JW,白龙马
唐師父,JW,唐僧
唐御弟,JW,唐僧
孫長老,JW,孙悟空
李長庚,JW,太白金星
伯欽,JW,刘伯钦
祖師道,JW,NOISE
海龍,JW,NOISE
老祖,JW,NOISE
那唐僧,JW,NOISE
那沙僧,JW,NOISE
沙悟淨,JW,沙悟净
沙兄弟,JW,沙悟净
壽星,JW,寿星
保唐僧,JW,NOISE
明白,JW,NOISE
寶貝,JW,NOISE
施禮,JW,NOISE
金光,JW,NOISE
謝恩,JW,NOISE
寶玉,RC,贾宝玉
賈母,RC,贾母
鳳姐,RC,王熙凤
黛玉,RC,林黛玉
寶釵,RC,薛宝钗
襲人,RC,花袭人
王夫人,RC,王夫人
老太太,RC,贾母
寶兄弟,RC,贾宝玉
林丫頭,RC,林黛玉
二爺,RC,NOISE
蘅蕪君,RC,薛宝钗
顰兒,RC,林黛玉
花珍珠,RC,花袭人
瀟湘妃子,RC,林黛玉
怡紅公子,RC,贾宝玉
多姑娘,RC,多姑娘
鳳丫頭,RC,王熙凤
璉二奶奶,RC,王熙凤
茗煙,RC,茗烟
紫鵑,RC,紫鹃
平兒,RC,平儿
晴雯,RC,晴雯
鴛鴦,RC,鸳鸯
秋桐,RC,秋桐
小紅,RC,林红玉
芳官,RC,芳官
劉姥姥,RC,刘姥姥
妙玉,RC,妙玉
探春,RC,贾探春
賈政,RC,贾政
賈璉,RC,贾琏
邢夫人,RC,邢夫人
薛姨媽,RC,薛姨妈
尤氏,RC,尤氏
李紈,RC,李纨
惜春,RC,贾惜春
巧姐,RC,贾巧姐
太太,RC,NOISE
丫頭,RC,NOISE
姑娘,RC,NOISE
老爺,RC,NOISE
奶奶,RC,NOISE
嫂子,RC,NOISE
小廝,RC,NOISE
秦可卿,RC,秦可卿
元春,RC,贾元春
迎春,RC,贾迎春
北靜王,RC,水溶
賈雨村,RC,贾雨村
