Novel,Rank,Character,Degree_Centrality,Betweenness_Centrality,Eigenvector_Centrality
SANGUO,1,诸葛亮,0.8406,0.1785,0.4251
SANGUO,2,刘备,0.7971,0.111,0.5002
SANGUO,3,曹操,0.7681,0.0888,0.3825
SANGUO,4,孙权,0.6522,0.0512,0.2094
SANGUO,5,关羽,0.5942,0.0358,0.2974
SANGUO,6,赵云,0.5507,0.0535,0.2222
SANGUO,7,张飞,0.4638,0.0181,0.214
SANGUO,8,袁绍,0.4493,0.0173,0.1126
SANGUO,9,周瑜,0.4348,0.015,0.15
SANGUO,10,曹仁,0.4203,0.014,0.0685
SANGUO,11,魏延,0.4058,0.0187,0.1422
SANGUO,12,徐晃,0.3913,0.014,0.0598
SANGUO,13,张翼,0.3768,0.0207,0.066
SANGUO,14,刘表,0.3623,0.01,0.0786
SANGUO,15,司马懿,0.3478,0.0177,0.0926
SHUIHU,1,宋江,0.8839,0.1382,0.4377
SHUIHU,2,吴用,0.7677,0.0319,0.2997
SHUIHU,3,李逵,0.7484,0.0305,0.2161
SHUIHU,4,卢俊义,0.7419,0.0344,0.1727
SHUIHU,5,武松,0.7161,0.051,0.1203
SHUIHU,6,鲁智深,0.7097,0.0192,0.1258
SHUIHU,7,秦明,0.6968,0.0101,0.1554
SHUIHU,8,戴宗,0.6968,0.0105,0.1845
SHUIHU,9,花荣,0.6839,0.0107,0.197
SHUIHU,10,石秀,0.6774,0.0133,0.1119
SHUIHU,11,孙立,0.6774,0.0099,0.1082
SHUIHU,12,解珍,0.6645,0.0067,0.1085
SHUIHU,13,解宝,0.6645,0.0067,0.1085
SHUIHU,14,张清,0.6645,0.0089,0.0887
SHUIHU,15,燕顺,0.6516,0.0066,0.0987
XIYOU,1,孙悟空,0.871,0.5412,0.5707
XIYOU,2,唐僧,0.6129,0.1722,0.5024
XIYOU,3,猪八戒,0.4677,0.0804,0.4944
XIYOU,4,沙和尚,0.3387,0.0312,0.4058
XIYOU,5,玉皇大帝,0.3065,0.0276,0.045
XIYOU,6,龙王,0.2581,0.0319,0.0515
XIYOU,7,唐太宗,0.2419,0.1334,0.0196
XIYOU,8,托塔李天王,0.1935,0.0051,0.0154
XIYOU,9,阎罗王,0.1774,0.041,0.0123
XIYOU,10,魏徵,0.1613,0.0468,0.0024
XIYOU,11,太上老君,0.1452,0.0011,0.0237
XIYOU,12,雷公,0.129,0.0004,0.0233
XIYOU,13,白龙马,0.1129,0.0006,0.065
XIYOU,14,牛魔王,0.1129,0.0003,0.0234
XIYOU,15,金刚,0.1129,0.0003,0.0179
HONGLOU,1,贾母,0.8298,0.1643,0.4332
HONGLOU,2,贾宝玉,0.7872,0.183,0.4555
HONGLOU,3,王熙凤,0.7021,0.0773,0.3341
HONGLOU,4,王夫人,0.6277,0.0428,0.3331
HONGLOU,5,林黛玉,0.5532,0.0306,0.3168
HONGLOU,6,贾政,0.5532,0.0675,0.1677
HONGLOU,7,贾琏,0.5532,0.045,0.1316
HONGLOU,8,薛宝钗,0.5213,0.0268,0.2943
HONGLOU,9,贾珍,0.4787,0.0212,0.0863
HONGLOU,10,尤氏,0.4787,0.0196,0.1027
HONGLOU,11,邢夫人,0.4681,0.0142,0.1226
HONGLOU,12,薛姨妈,0.4681,0.0295,0.1558
HONGLOU,13,平儿,0.4681,0.0186,0.1291
HONGLOU,14,贾蓉,0.4149,0.016,0.0685
HONGLOU,15,探春,0.3723,0.0047,0.1347
