Source,Target,Weight,Type
玉皇大帝,龙王,13,Undirected
玉皇大帝,葛仙翁,4,Undirected
玉皇大帝,孙悟空,89,Undirected
玉皇大帝,哪吒,6,Undirected
玉皇大帝,托塔李天王,25,Undirected
玉皇大帝,巨灵神,5,Undirected
玉皇大帝,王母娘娘,12,Undirected
玉皇大帝,太上老君,17,Undirected
玉皇大帝,九曜星君,6,Undirected
玉皇大帝,惠岸行者,4,Undirected
玉皇大帝,阎罗王,3,Undirected
玉皇大帝,二郎神,10,Undirected
玉皇大帝,沙和尚,11,Undirected
玉皇大帝,敖闰,4,Undirected
玉皇大帝,魏徵,3,Undirected
玉皇大帝,雷公,6,Undirected
玉皇大帝,唐僧,28,Undirected
玉皇大帝,猪八戒,12,Undirected
玉皇大帝,真武大帝,4,Undirected
孙悟空,阎罗王,19,Undirected
孙悟空,菩提祖师,14,Undirected
孙悟空,太上老君,44,Undirected
孙悟空,龙王,80,Undirected
孙悟空,敖闰,7,Undirected
孙悟空,白龙马,72,Undirected
孙悟空,敖顺,10,Undirected
孙悟空,牛魔王,41,Undirected
孙悟空,雷公,39,Undirected
孙悟空,哪吒,16,Undirected
孙悟空,托塔李天王,37,Undirected
孙悟空,巨灵神,7,Undirected
孙悟空,王母娘娘,11,Undirected
孙悟空,九曜星君,7,Undirected
孙悟空,惠岸行者,11,Undirected
孙悟空,二郎神,8,Undirected
孙悟空,金刚,21,Undirected
孙悟空,唐僧,827,Undirected
孙悟空,魏徵,3,Undirected
孙悟空,唐太宗,16,Undirected
孙悟空,刘伯钦,3,Undirected
孙悟空,伽蓝,16,Undirected
孙悟空,白衣秀士,4,Undirected
孙悟空,高太公,3,Undirected
孙悟空,猪八戒,707,Undirected
孙悟空,乌巢禅师,4,Undirected
孙悟空,黄风怪,16,Undirected
孙悟空,灵吉菩萨,11,Undirected
孙悟空,太白金星,3,Undirected
孙悟空,沙和尚,479,Undirected
孙悟空,孔雀大明王,3,Undirected
孙悟空,镇元大仙,3,Undirected
孙悟空,寿星,8,Undirected
孙悟空,东华帝君,5,Undirected
孙悟空,真武大帝,6,Undirected
孙悟空,巴山虎,5,Undirected
孙悟空,玉兔精,6,Undirected
孙悟空,文殊菩萨,5,Undirected
孙悟空,铁扇公主,29,Undirected
孙悟空,鹿力大仙,9,Undirected
孙悟空,虎力大仙,3,Undirected
孙悟空,陈关保,4,Undirected
