Source,Target,Weight,Type
甄士隐,香菱,4,Undirected
甄士隐,贾宝玉,3,Undirected
甄士隐,贾雨村,14,Undirected
香菱,贾雨村,5,Undirected
香菱,冯渊,3,Undirected
香菱,薛蟠,8,Undirected
香菱,薛宝钗,8,Undirected
香菱,夏金桂,5,Undirected
香菱,薛姨妈,7,Undirected
香菱,贾母,4,Undirected
贾宝玉,贾珠,4,Undirected
贾宝玉,贾敬,6,Undirected
贾宝玉,贾蓉,40,Undirected
贾宝玉,贾政,166,Undirected
贾宝玉,贾珍,54,Undirected
贾宝玉,贾雨村,12,Undirected
贾宝玉,林黛玉,369,Undirected
贾宝玉,王夫人,265,Undirected
贾宝玉,贾母,412,Undirected
贾宝玉,探春,105,Undirected
贾宝玉,王熙凤,239,Undirected
贾宝玉,迎春,53,Undirected
贾宝玉,李嬷嬷,14,Undirected
贾宝玉,雪雁,40,Undirected
贾宝玉,惜春,54,Undirected
贾宝玉,薛宝钗,278,Undirected
贾宝玉,秦可卿,23,Undirected
贾宝玉,周瑞家的,12,Undirected
贾宝玉,司棋,10,Undirected
贾宝玉,周瑞,17,Undirected
贾宝玉,尤氏,57,Undirected
贾宝玉,秦钟,33,Undirected
贾宝玉,平儿,72,Undirected
贾宝玉,吴新登,4,Undirected
贾宝玉,詹光,3,Undirected
贾宝玉,薛姨妈,96,Undirected
贾宝玉,紫鹃,97,Undirected
贾宝玉,贾代儒,11,Undirected
贾宝玉,李贵,20,Undirected
贾宝玉,薛蟠,37,Undirected
贾宝玉,金荣,8,Undirected
贾宝玉,贾蔷,8,Undirected
贾宝玉,贾瑞,8,Undirected
贾宝玉,贾菌,4,Undirected
贾宝玉,贾兰,52,Undirected
贾宝玉,邢夫人,61,Undirected
贾宝玉,贾琏,71,Undirected
贾宝玉,贾芹,4,Undirected
贾宝玉,贾琮,7,Undirected
贾宝玉,贾芸,29,Undirected
贾宝玉,北静王,16,Undirected
贾宝玉,旺儿,4,Undirected
贾宝玉,贾元春,22,Undirected
贾宝玉,贾环,53,Undirected
贾宝玉,秋纹,46,Undirected
贾宝玉,史湘云,50,Undirected
贾宝玉,李纨,17,Undirected
贾宝玉,金钏,16,Undirected
贾宝玉,小红,12,Undirected
贾宝玉,玉钏,15,Undirected
贾宝玉,周姨娘,6,Undirected
贾宝玉,冯紫英,8,Undirected
贾宝玉,巧姐,21,Undirected
贾宝玉,林之孝,17,Undirected
贾宝玉,赖大,20,Undirected
贾宝玉,王太医,11,Undirected
贾宝玉,蒋玉菡,11,Undirected
贾宝玉,妙玉,20,Undirected
贾宝玉,柳湘莲,5,Undirected
贾宝玉,赖尚荣,3,Undirected
贾宝玉,薛宝琴,46,Undirected
贾宝玉,李纹,9,Undirected
贾宝玉,王仁,7,Undirected
贾宝玉,春燕,7,Undirected
贾宝玉,小燕,6,Undirected
贾宝玉,佩凤,4,Undirected
贾宝玉,尤三姐,6,Undirected
贾宝玉,尤二姐,6,Undirected
贾宝玉,王善保,7,Undirected
贾宝玉,孙绍祖,4,Undirected
贾宝玉,包勇,3,Undirected
贾宝玉,李婶娘,7,Undirected
贾宝玉,甄宝玉,10,Undirected
贾雨村,林如海,5,Undirected
贾雨村,贾琏,6,Undirected
贾雨村,贾政,11,Undirected
贾雨村,林黛玉,6,Undirected
贾雨村,冯渊,4,Undirected
贾雨村,薛蟠,5,Undirected
贾雨村,薛宝钗,5,Undirected
贾雨村,贾母,10,Undirected
贾雨村,王夫人,6,Undirected
贾雨村,王熙凤,5,Undirected
林如海,林黛玉,4,Undirected
林如海,贾母,4,Undirected
林如海,贾琏,3,Undirected
林黛玉,周全,4,Undirected
林黛玉,贾母,220,Undirected
林黛玉,贾政,39,Undirected
林黛玉,贾琏,22,Undirected
林黛玉,王熙凤,127,Undirected
林黛玉,王夫人,116,Undirected
林黛玉,邢夫人,23,Undirected
林黛玉,惜春,38,Undirected
林黛玉,李纨,13,Undirected
林黛玉,迎春,41,Undirected
林黛玉,探春,87,Undirected
林黛玉,李嬷嬷,7,Undirected
林黛玉,雪雁,49,Undirected
林黛玉,薛蟠,15,Undirected
林黛玉,贾兰,20,Undirected
林黛玉,贾珍,16,Undirected
林黛玉,薛姨妈,62,Undirected
林黛玉,薛宝钗,207,Undirected
林黛玉,金钏,9,Undirected
林黛玉,周瑞家的,10,Undirected
