Source,Target,Weight,Type
刘备,公孙瓒,19,Undirected
刘备,张飞,124,Undirected
刘备,关羽,163,Undirected
刘备,董卓,14,Undirected
刘备,曹操,207,Undirected
刘备,孙坚,3,Undirected
刘备,袁绍,50,Undirected
刘备,袁术,25,Undirected
刘备,吕布,63,Undirected
刘备,黄盖,3,Undirected
刘备,程普,7,Undirected
刘备,张翼,9,Undirected
刘备,赵云,108,Undirected
刘备,太史慈,3,Undirected
刘备,糜竺,35,Undirected
刘备,程昱,15,Undirected
刘备,曹仁,24,Undirected
刘备,陈宫,12,Undirected
刘备,孙乾,59,Undirected
刘备,许褚,15,Undirected
刘备,孙策,9,Undirected
刘备,张辽,22,Undirected
刘备,刘表,47,Undirected
刘备,贾诩,5,Undirected
刘备,曹洪,10,Undirected
刘备,糜芳,17,Undirected
刘备,李典,14,Undirected
刘备,徐晃,10,Undirected
刘备,刘璋,43,Undirected
刘备,张鲁,21,Undirected
刘备,蔡瑁,23,Undirected
刘备,孙权,88,Undirected
刘备,刘禅,7,Undirected
刘备,庞德,3,Undirected
刘备,庞统,38,Undirected
刘备,刘封,31,Undirected
刘备,诸葛亮,208,Undirected
刘备,诸葛瑾,8,Undirected
刘备,司马懿,9,Undirected
刘备,魏延,39,Undirected
刘备,鲁肃,45,Undirected
刘备,张昭,18,Undirected
刘备,周瑜,52,Undirected
刘备,徐盛,9,Undirected
刘备,黄忠,43,Undirected
刘备,潘璋,4,Undirected
刘备,吕蒙,8,Undirected
刘备,孟达,24,Undirected
刘备,廖化,7,Undirected
刘备,严颜,14,Undirected
刘备,曹休,4,Undirected
刘备,王平,3,Undirected
刘备,曹丕,12,Undirected
刘备,陆逊,8,Undirected
刘备,曹真,3,Undirected
公孙瓒,董卓,6,Undirected
公孙瓒,关羽,5,Undirected
公孙瓒,张飞,5,Undirected
公孙瓒,袁绍,14,Undirected
公孙瓒,曹操,9,Undirected
公孙瓒,吕布,5,Undirected
公孙瓒,赵云,7,Undirected
张飞,关羽,76,Undirected
张飞,董卓,9,Undirected
张飞,曹操,39,Undirected
张飞,袁术,4,Undirected
张飞,吕布,24,Undirected
张飞,袁绍,6,Undirected
张飞,张翼,16,Undirected
张飞,赵云,51,Undirected
张飞,糜竺,13,Undirected
张飞,孙乾,18,Undirected
张飞,陈宫,3,Undirected
张飞,糜芳,12,Undirected
张飞,张辽,8,Undirected
张飞,曹仁,7,Undirected
张飞,李典,5,Undirected
张飞,许褚,10,Undirected
张飞,徐晃,3,Undirected
张飞,孙权,7,Undirected
张飞,张鲁,3,Undirected
张飞,诸葛亮,56,Undirected
张飞,刘表,3,Undirected
张飞,刘封,8,Undirected
张飞,魏延,18,Undirected
张飞,周瑜,5,Undirected
张飞,刘璋,5,Undirected
张飞,黄忠,11,Undirected
张飞,庞统,3,Undirected
张飞,严颜,17,Undirected
张飞,曹洪,5,Undirected
张飞,张苞,3,Undirected
关羽,董卓,4,Undirected
关羽,曹操,108,Undirected
关羽,袁术,3,Undirected
关羽,袁绍,28,Undirected
关羽,吕布,15,Undirected
关羽,张翼,7,Undirected
关羽,赵云,37,Undirected
关羽,糜竺,11,Undirected
关羽,孙乾,32,Undirected
关羽,张辽,24,Undirected
关羽,糜芳,16,Undirected
关羽,许褚,9,Undirected
关羽,程昱,5,Undirected
关羽,徐晃,13,Undirected
关羽,李典,4,Undirected
关羽,廖化,18,Undirected
关羽,刘表,6,Undirected
关羽,孙权,34,Undirected
关羽,曹仁,19,Undirected
关羽,刘封,16,Undirected
关羽,诸葛亮,72,Undirected
关羽,周瑜,17,Undirected
关羽,鲁肃,12,Undirected
关羽,黄忠,18,Undirected
关羽,魏延,12,Undirected
关羽,刘璋,3,Undirected
关羽,徐盛,3,Undirected
关羽,孟达,11,Undirected
关羽,吕蒙,28,Undirected
关羽,诸葛瑾,5,Undirected
关羽,张昭,4,Undirected
关羽,庞德,14,Undirected
关羽,贾诩,4,Undirected
关羽,陆逊,7,Undirected
关羽,潘璋,7,Undirected
关羽,马忠,5,Undirected
关羽,曹丕,4,Undirected
关羽,张苞,6,Undirected
曹操,董卓,16,Undirected
曹操,袁绍,71,Undirected
曹操,袁术,24,Undirected
曹操,吕布,48,Undirected
曹操,陈宫,17,Undirected
曹操,李典,25,Undirected
曹操,曹洪,29,Undirected
曹操,曹仁,35,Undirected
曹操,贾诩,21,Undirected
曹操,程昱,22,Undirected
曹操,糜竺,13,Undirected
曹操,太史慈,4,Undirected
曹操,赵云,31,Undirected
曹操,张辽,43,Undirected
曹操,许褚,40,Undirected
曹操,徐晃,48,Undirected
曹操,孙策,7,Undirected
曹操,孙乾,23,Undirected
曹操,张昭,20,Undirected
曹操,黄祖,4,Undirected
曹操,刘表,31,Undirected
曹操,糜芳,7,Undirected
曹操,韩遂,16,Undirected
曹操,廖化,8,Undirected
曹操,蔡瑁,13,Undirected
曹操,曹丕,21,Undirected
曹操,诸葛亮,109,Undirected
曹操,刘璋,18,Undirected
曹操,孙权,74,Undirected
曹操,周瑜,42,Undirected
曹操,吕蒙,17,Undirected
曹操,司马懿,7,Undirected
曹操,张翼,5,Undirected
曹操,鲁肃,36,Undirected
曹操,黄盖,15,Undirected
曹操,程普,7,Undirected
曹操,诸葛瑾,3,Undirected
曹操,庞统,11,Undirected
曹操,潘璋,6,Undirected
曹操,徐盛,7,Undirected
曹操,陆逊,5,Undirected
曹操,曹休,7,Undirected
曹操,庞德,32,Undirected
曹操,张鲁,25,Undirected
曹操,孟达,10,Undirected
曹操,黄忠,15,Undirected
曹操,魏延,9,Undirected
曹操,刘封,9,Undirected
曹操,严颜,5,Undirected
董卓,袁绍,17,Undirected
董卓,吕布,29,Undirected
董卓,袁术,9,Undirected
董卓,孙坚,10,Undirected
董卓,程普,5,Undirected
董卓,黄盖,3,Undirected
董卓,刘表,3,Undirected
董卓,诸葛亮,3,Undirected
孙坚,袁术,5,Undirected
孙坚,袁绍,10,Undirected
孙坚,程普,9,Undirected
孙坚,黄盖,8,Undirected
孙坚,刘表,8,Undirected
孙坚,黄祖,5,Undirected
孙坚,孙策,5,Undirected
袁绍,袁术,19,Undirected
袁绍,吕布,19,Undirected
袁绍,程普,5,Undirected
袁绍,黄盖,4,Undirected
袁绍,李典,7,Undirected
袁绍,曹洪,9,Undirected
袁绍,曹仁,4,Undirected
袁绍,刘表,24,Undirected
袁绍,蔡瑁,3,Undirected
袁绍,赵云,7,Undirected
袁绍,程昱,8,Undirected
袁绍,陈宫,4,Undirected
袁绍,刘璋,3,Undirected
袁绍,孙策,3,Undirected
袁绍,贾诩,3,Undirected
袁绍,孙乾,12,Undirected
袁绍,张辽,13,Undirected
袁绍,徐晃,9,Undirected
袁绍,许褚,8,Undirected
袁绍,曹丕,4,Undirected
袁绍,孙权,6,Undirected
袁绍,诸葛亮,9,Undirected
袁绍,周瑜,3,Undirected
袁绍,鲁肃,3,Undirected
袁术,吕布,32,Undirected
袁术,程普,3,Undirected
袁术,刘表,9,Undirected
袁术,陈宫,5,Undirected
袁术,孙策,11,Undirected
袁术,张辽,3,Undirected
袁术,诸葛亮,4,Undirected
吕布,曹仁,8,Undirected
吕布,程昱,6,Undirected
吕布,陈宫,31,Undirected
吕布,张辽,16,Undirected
吕布,李典,6,Undirected
吕布,曹洪,4,Undirected
吕布,糜竺,6,Undirected
吕布,许褚,6,Undirected
吕布,孙乾,5,Undirected
吕布,刘表,9,Undirected
吕布,孙策,4,Undirected
吕布,徐晃,4,Undirected
吕布,诸葛亮,4,Undirected
吕布,周瑜,3,Undirected
陈宫,程昱,3,Undirected
陈宫,曹仁,3,Undirected
陈宫,许褚,3,Undirected
陈宫,张辽,5,Undirected
曹仁,曹洪,23,Undirected
曹仁,李典,16,Undirected
曹仁,程昱,5,Undirected
曹仁,许褚,11,Undirected
曹仁,徐晃,9,Undirected
曹仁,张辽,8,Undirected
曹仁,贾诩,5,Undirected
曹仁,赵云,8,Undirected
曹仁,刘封,4,Undirected
曹仁,孙权,5,Undirected
曹仁,诸葛亮,12,Undirected
曹仁,糜芳,4,Undirected
曹仁,周瑜,12,Undirected
曹仁,徐盛,3,Undirected
曹仁,吕蒙,3,Undirected
曹仁,程普,7,Undirected
曹仁,庞德,4,Undirected
曹仁,韩遂,3,Undirected
曹仁,曹休,5,Undirected
曹仁,陆逊,4,Undirected
曹仁,曹真,5,Undirected
曹仁,曹丕,4,Undirected
曹洪,李典,10,Undirected
曹洪,张辽,7,Undirected
曹洪,许褚,12,Undirected
曹洪,徐晃,12,Undirected
曹洪,刘表,3,Undirected
曹洪,贾诩,3,Undirected
曹洪,孙权,4,Undirected
曹洪,周瑜,5,Undirected
曹洪,庞德,4,Undirected
曹洪,韩遂,4,Undirected
曹洪,曹休,3,Undirected
程普,黄盖,16,Undirected
程普,刘表,7,Undirected
程普,黄祖,5,Undirected
程普,孙策,9,Undirected
程普,周瑜,25,Undirected
程普,张昭,5,Undirected
程普,太史慈,6,Undirected
程普,孙权,15,Undirected
程普,诸葛亮,4,Undirected
程普,鲁肃,8,Undirected
程普,徐盛,5,Undirected
程普,吕蒙,4,Undirected
黄盖,刘表,5,Undirected
黄盖,黄祖,3,Undirected
