Source,Target,Weight,Type
王进,高俅,6,Undirected
王进,史进,7,Undirected
高俅,史进,3,Undirected
高俅,鲁智深,10,Undirected
高俅,薛霸,5,Undirected
高俅,董超,5,Undirected
高俅,柴进,10,Undirected
高俅,李小二,3,Undirected
高俅,王伦,5,Undirected
高俅,杨志,9,Undirected
高俅,蔡京,9,Undirected
高俅,曹正,4,Undirected
高俅,张青,5,Undirected
高俅,晁盖,3,Undirected
高俅,宋江,39,Undirected
高俅,呼延灼,14,Undirected
高俅,韩滔,5,Undirected
高俅,凌振,4,Undirected
高俅,朱仝,3,Undirected
高俅,秦明,4,Undirected
高俅,卢俊义,7,Undirected
高俅,戴宗,12,Undirected
高俅,李逵,7,Undirected
高俅,李师师,8,Undirected
高俅,燕青,12,Undirected
高俅,刘唐,4,Undirected
高俅,吴用,15,Undirected
高俅,关胜,3,Undirected
高俅,董平,4,Undirected
高俅,童贯,7,Undirected
高俅,刘梦龙,6,Undirected
高俅,张清,7,Undirected
高俅,韩存保,4,Undirected
高俅,王焕,10,Undirected
高俅,王文德,3,Undirected
高俅,公孙胜,6,Undirected
高俅,周昂,7,Undirected
高俅,丘岳,7,Undirected
高俅,张顺,3,Undirected
高俅,宿元景,7,Undirected
史进,朱武,26,Undirected
史进,陈达,25,Undirected
史进,杨春,22,Undirected
史进,鲁智深,35,Undirected
史进,李忠,13,Undirected
史进,郑屠,3,Undirected
史进,周通,7,Undirected
史进,宋江,51,Undirected
史进,武松,22,Undirected
史进,李俊,9,Undirected
史进,戴宗,11,Undirected
史进,杨雄,13,Undirected
史进,吴用,20,Undirected
史进,解宝,15,Undirected
史进,花荣,25,Undirected
史进,石秀,12,Undirected
史进,张顺,9,Undirected
史进,呼延灼,15,Undirected
史进,杨志,18,Undirected
史进,朱仝,25,Undirected
史进,解珍,15,Undirected
史进,秦明,13,Undirected
史进,李应,13,Undirected
史进,徐宁,14,Undirected
史进,晁盖,4,Undirected
史进,朱贵,3,Undirected
史进,孙立,16,Undirected
史进,郭盛,8,Undirected
史进,黄信,14,Undirected
史进,柴进,16,Undirected
史进,李衮,12,Undirected
史进,穆弘,26,Undirected
史进,项充,12,Undirected
史进,公孙胜,9,Undirected
史进,阮小五,6,Undirected
史进,邹润,8,Undirected
史进,童猛,4,Undirected
史进,李云,4,Undirected
史进,孔亮,7,Undirected
史进,张横,7,Undirected
史进,施恩,5,Undirected
史进,邓飞,10,Undirected
史进,阮小七,5,Undirected
史进,凌振,4,Undirected
史进,穆春,3,Undirected
史进,杨林,6,Undirected
史进,李逵,18,Undirected
史进,邹渊,8,Undirected
史进,欧鹏,11,Undirected
史进,雷横,11,Undirected
史进,樊瑞,8,Undirected
史进,燕顺,8,Undirected
史进,张青,8,Undirected
史进,李立,3,Undirected
史进,杜迁,4,Undirected
史进,段景住,3,Undirected
史进,杜兴,5,Undirected
史进,石勇,4,Undirected
史进,童威,4,Undirected
史进,马麟,9,Undirected
史进,汤隆,5,Undirected
史进,刘唐,18,Undirected
史进,宋万,4,Undirected
史进,韩滔,10,Undirected
史进,薛永,6,Undirected
史进,阮小二,6,Undirected
史进,裴宣,4,Undirected
史进,卢俊义,24,Undirected
史进,扈三娘,3,Undirected
史进,燕青,10,Undirected
史进,史文恭,3,Undirected
史进,郁保四,4,Undirected
史进,王定六,3,Undirected
史进,董平,20,Undirected
史进,关胜,9,Undirected
史进,张清,11,Undirected
史进,索超,13,Undirected
史进,宣赞,8,Undirected
史进,郝思文,7,Undirected
史进,安道全,4,Undirected
史进,魏定国,7,Undirected
史进,蔡庆,3,Undirected
史进,鲍旭,8,Undirected
史进,王英,3,Undirected
史进,田虎,3,Undirected
史进,耿恭,5,Undirected
朱武,陈达,21,Undirected
朱武,杨春,20,Undirected
朱武,鲁智深,12,Undirected
