Extracted_Name,Frequency,Main_Name_Mapping
唐僧,803,唐僧
沙僧,755,沙和尚
聞言,188,NOISE
孫大聖,183,孙悟空
王道,172,NOISE
玉帝,166,玉皇大帝
寶貝,139,NOISE
老孫,133,孙悟空
沙和尚,91,沙和尚
唐王,82,唐太宗
玄奘,75,唐僧
童子,69,NOISE
花果山,65,NOISE
金光,63,NOISE
文武,63,NOISE
老君,61,太上老君
雷公,58,雷公
李天王,57,托塔李天王
王子,56,NOISE
保唐僧,47,NOISE
明白,46,NOISE
唐三藏,43,唐僧
小姐,42,NOISE
謝恩,40,NOISE
那道士,38,NOISE
牛魔王,37,牛魔王
古人云,36,NOISE
雷音寺,36,NOISE
那唐僧,36,唐僧
寶殿,34,NOISE
閻王,34,阎罗王
美猴王,33,孙悟空
冷笑,32,NOISE
老和尚,31,NOISE
那國王,31,NOISE
金剛,30,金刚
牛王,30,牛魔王
龍王,29,龙王
魏徵,28,魏徵
白玉,27,NOISE
寶劍,26,NOISE
施禮,26,NOISE
伯欽,25,刘伯钦
靈霄,24,NOISE
馬匹,24,NOISE
劉洪,24,刘洪
言語,23,NOISE
老王,23,NOISE
太上老君,21,太上老君
九霄,21,NOISE
伽藍,21,伽蓝
沙僧笑,20,NOISE
道大聖,19,NOISE
那道人,19,NOISE
白馬,19,白龙马
玉兔,19,玉兔精
高峰,19,NOISE
羅剎,19,铁扇公主
三太子,18,哪吒
元帥,18,NOISE
童兒,18,NOISE
金丹,17,NOISE
柳枝,17,NOISE
金鑾殿,17,NOISE
莫念莫,17,NOISE
玉皇,16,玉皇大帝
孤拐,16,NOISE
老龍,16,龙王
伏虎,16,NOISE
小龍,16,白龙马
高僧,16,NOISE
德星君,16,NOISE
神僧,16,唐僧
小王子,16,NOISE
侍奉,15,NOISE
道老孫,15,NOISE
小可,15,NOISE
王母,15,王母娘娘
郎君,15,NOISE
劉全,15,刘全
唐長老,15,唐僧
童男,15,NOISE
那郡侯,15,NOISE
馬溫,14,孙悟空
真君,14,二郎神
思凡,14,NOISE
老僧,14,NOISE
羅漢,14,NOISE
化齋,14,NOISE
索子,14,NOISE
那沙僧,14,沙和尚
斯文,14,NOISE
甘雨,14,NOISE
朱紫國,14,NOISE
金聖宮,14,金圣宫娘娘
太尉,13,NOISE
帝王,13,NOISE
靈霄殿,13,NOISE
洪福,13,NOISE
崔判官,13,崔珏
老虎,13,NOISE
老拙,13,NOISE
汪汪,13,NOISE
祖宗,13,NOISE
通天河,13,NOISE
石屏,13,NOISE
王府,13,NOISE
金平府,13,NOISE
伽山,12,NOISE
沙悟淨,12,沙和尚
金山寺,12,NOISE
陳家莊,12,NOISE
鳳仙郡,12,NOISE
暴紗亭,12,NOISE
賀喜,11,NOISE
天恩,11,NOISE
惠岸,11,惠岸行者
施禮道,11,NOISE
天曉,11,NOISE
老公公,11,NOISE
道聖僧,11,NOISE
那老僧,11,NOISE
孫長老,11,孙悟空
陳澄,11,陈澄
布金寺,11,NOISE
閻君,10,阎罗王
招安,10,NOISE
王母娘娘,10,王母娘娘
太宗皇帝,10,唐太宗
張氏,10,NOISE
那龍王,10,龙王
凡夫,10,NOISE
孔雀,10,孔雀大明王
宿一宵,10,NOISE
唐僧乃,10,唐僧
帝君,10,东华帝君
比丘尼,10,NOISE
光祿寺,10,NOISE
凌空,10,NOISE
井木犴,10,井木犴
龍子龍,9,NOISE
森羅殿,9,NOISE
阿彌,9,NOISE
雲光,9,NOISE
靈吉,9,灵吉菩萨
張開口,9,NOISE
寶林寺,9,NOISE
莫胡,9,NOISE
唐老爺,9,唐僧
黎民,9,NOISE
那婆子,9,NOISE
玄英洞,9,NOISE
老龍王,8,龙王
森森,8,NOISE
九曜星,8,九曜星君
望大聖,8,NOISE
明珠,8,NOISE
干戈,8,NOISE
慧眼,8,NOISE
諸佛,8,NOISE
白衣秀士,8,白衣秀士
文武官,8,NOISE
尉遲恭,8,尉迟恭
孫老爺,8,孙悟空
高老莊,8,NOISE
老師父,8,NOISE
寶象國,8,NOISE
老爺,8,NOISE
文殊,8,文殊菩萨
那老龍,8,龙王
翠雲山,8,NOISE
那羅剎,8,铁扇公主
金聖,8,金圣宫娘娘
東勝,7,NOISE
石碣,7,NOISE
天罡,7,NOISE
老祖,7,太上老君
那寶貝,7,NOISE
