Extracted_Name,Frequency,Main_Name_Mapping
寶玉,3081,贾宝玉
賈母,1594,贾母
鳳姐,1072,王熙凤
王夫人,1070,王夫人
老太太,975,贾母
寶釵,890,薛宝钗
黛玉,766,林黛玉
賈璉,727,贾琏
賈政,673,贾政
鳳姐兒,464,王熙凤
薛姨媽,451,薛姨妈
探春,433,探春
紫鵑,396,紫鹃
賈珍,363,贾珍
邢夫人,288,邢夫人
林黛玉,279,林黛玉
尤氏,265,尤氏
寶玉笑,255,NOISE
薛蟠,237,薛蟠
賈蓉,221,贾蓉
明白,217,NOISE
周瑞家,160,周瑞家的
林之孝,144,林之孝
迎春,143,迎春
賈環,140,贾环
林姑娘,132,林黛玉
賈芸,132,贾芸
冷笑,124,NOISE
金桂,122,夏金桂
和尚,119,NOISE
老婆子,107,NOISE
妙玉,104,妙玉
惜春,97,惜春
林妹妹,95,林黛玉
寶二爺,92,贾宝玉
尤二姐,91,尤二姐
寶琴,88,薛宝琴
雪雁,87,雪雁
小姐,86,NOISE
史湘雲,85,史湘云
老祖宗,83,贾母
黛玉笑,82,NOISE
賈蘭,80,贾兰
秦鐘,80,秦钟
寶玉道,74,NOISE
寶玉忙,68,NOISE
鳳丫頭,63,王熙凤
秦氏,59,秦可卿
馮紫英,58,冯紫英
賈政道,58,NOISE
賈瑞,56,贾瑞
巧姐兒,56,巧姐
賈府,52,NOISE
紅玉,52,小红
那婆子,51,NOISE
老嬤嬤,46,NOISE
邢王二,46,NOISE
王爺,43,NOISE
包勇,43,包勇
何曾,42,NOISE
玉釧兒,42,玉钏
祖宗,40,NOISE
那寶玉,40,NOISE
司棋,38,司棋
李嬤嬤,37,李嬷嬷
金釧兒,37,金钏
金陵,36,NOISE
周瑞,36,周瑞
巧姐,36,巧姐
賈妃,35,贾元春
士隱,34,甄士隐
尤三姐,34,尤三姐
甄寶玉,34,甄宝玉
梅花,33,NOISE
尤氏笑,32,NOISE
賈芹,32,贾芹
張華,32,张华
丰兒,30,NOISE
王仁,30,王仁
桂花,29,NOISE
寶丫頭,29,薛宝钗
蔣玉菡,28,蒋玉菡
王善保,28,王善保
阿彌,27,NOISE
王子,27,NOISE
平兒,27,平儿
鮑二,27,鲍二
孫子,26,NOISE
李貴,26,李贵
北靜王,26,北静王
李十兒,26,李十儿
榮國府,25,NOISE
言語,24,NOISE
金榮,24,金荣
薛寶釵,23,薛宝钗
賈政笑,23,NOISE
馬道婆,23,马道婆
李氏,22,李纨
那玉,22,NOISE
王府,22,NOISE
水月庵,22,NOISE
張羅,22,NOISE
元妃,22,贾元春
黛玉道,22,NOISE
王太醫,22,王太医
柳湘蓮,22,柳湘莲
老先生,21,NOISE
薛家,21,NOISE
李紋,21,李纹
雨村,20,贾雨村
金玉,20,NOISE
相公,20,NOISE
倪二,20,倪二
秋桐,20,秋桐
賈家,19,NOISE
雪雁道,19,NOISE
小太監,19,NOISE
賈芸道,19,NOISE
甄家,18,NOISE
莫若,18,NOISE
宁可,18,NOISE
北靜,18,北静王
帕子,18,NOISE
邢大舅,18,NOISE
賈雨村,17,贾雨村
黛玉忙,17,NOISE
寶玉正,17,NOISE
明白人,17,NOISE
謝恩,17,NOISE
老爺,17,NOISE
小燕,16,小燕
尤老娘,16,尤老娘
賈寶玉,16,贾宝玉
胡思,15,NOISE
宁府,15,NOISE
乾娘,15,NOISE
天亮,15,NOISE
巧遇,14,NOISE
但凡,14,NOISE
那黛玉,14,NOISE
寶玉方,14,NOISE
水溶,14,北静王
宗祠,14,NOISE
李嬸娘,14,李婶娘
天恩,13,NOISE
古董,13,NOISE
祖母,13,NOISE
趙嬤嬤,13,赵嬷嬷
秋紋,13,秋纹
邢姑娘,13,NOISE
青埂峰,12,NOISE
那道人,12,NOISE
宁榮,12,NOISE
周全,12,周全
向黛玉,12,NOISE
吳新登,12,吴新登
張張,12,NOISE
代儒,12,贾代儒
王妃,12,NOISE
尤氏李,12,NOISE
林姐姐,12,林黛玉
太妃,12,NOISE
小老婆,12,NOISE
春燕,12,春燕
趙堂,12,NOISE
安賈母,11,NOISE
殷勤,11,NOISE
清香,11,NOISE
庄子,11,NOISE
老世翁,11,NOISE
賈薔道,11,NOISE
賈政忙,11,NOISE
老尼,11,NOISE
李宮裁,11,李纨
周姨娘,11,周姨娘
二叔叔,11,NOISE
賴嬤嬤,11,赖嬷嬷
蘭哥兒,11,贾兰
林丫頭,11,林黛玉
佩鳳,11,佩凤
俞祿,11,俞禄
那僧道,10,NOISE
林如海,10,林如海
石青,10,NOISE
寶叔,10,贾宝玉
那鳳姐,10,NOISE
詹光,10,詹光
薛大爺,10,薛蟠
馮大爺,10,冯紫英
旺兒,10,旺儿
寶貝,10,NOISE
黛玉湘雲,10,NOISE
平姐姐,10,平儿
王大夫,10,王太医
雲兒,10,史湘云
賴尚榮,10,赖尚荣
蘭兒,10,贾兰
老爹,9,NOISE
亦且,9,NOISE
高明,9,NOISE
王法,9,NOISE
薛蟠自,9,NOISE
賈薔,9,贾蔷
賈菌,9,贾菌
那道士,9,NOISE
薛蟠笑,9,NOISE
閻王,9,NOISE
尼姑,9,NOISE
孔雀,9,NOISE
榮宁,9,NOISE
栗子,9,NOISE
阿彌陀,9,NOISE
薛大哥,9,薛蟠
妙玉笑,9,NOISE
孫女兒,9,NOISE
西平王,9,西平王
甄士隱,8,甄士隐
唐突,8,NOISE
隆恩,8,NOISE
斯文,8,NOISE
賈珠,8,贾珠
白石,8,NOISE
安鳳姐,8,NOISE
安寶玉,8,NOISE
鳳姐道,8,NOISE
榮府,8,NOISE
張家,8,NOISE
鳳姐忙,8,NOISE
花香,8,NOISE
千秋,8,NOISE
寶玉見,8,NOISE
孔子,8,NOISE
卜世仁,8,卜世仁
寶玉若,8,NOISE
托生,8,NOISE
老公,8,NOISE
賀喜,8,NOISE
安逸,8,NOISE
張王氏,8,NOISE
張三,8,张三
乾兒子,8,NOISE
老伯,8,NOISE
甄應嘉,8,甄应嘉
美玉,7,NOISE
神瑛侍者,7,NOISE
賈敬,7,贾敬
文武,7,NOISE
甄府,7,NOISE
紫檀,7,NOISE
杜撰,7,NOISE
甄老爺,7,NOISE
和黛玉,7,NOISE
