Extracted_Name,Frequency,Main_Name_Mapping
孔明,918,诸葛亮
曹操,896,曹操
玄德,567,刘备
玄德曰,387,NOISE
孔明曰,384,NOISE
張飛,260,张飞
周瑜,215,周瑜
魏兵,213,NOISE
呂布,203,吕布
趙雲,199,赵云
司馬懿,183,司马懿
孫權,177,孙权
魏延,174,魏延
姜維,146,姜维
袁紹,141,袁绍
黃忠,137,黄忠
劉備,135,刘备
諸葛亮,126,诸葛亮
夏侯,123,NOISE
馬超,122,NOISE
曹兵,106,NOISE
董卓,104,董卓
文武,100,NOISE
鄧艾,94,邓艾
徐晃,92,徐晃
伏兵,89,NOISE
王平,88,王平
龐德,81,庞德
關公,78,关羽
吳兵,75,NOISE
曹仁,73,曹仁
劉璋,72,刘璋
張苞,72,张苞
曹軍,70,NOISE
孫策,69,孙策
曹洪,68,曹洪
張遼,68,张辽
曹丕,67,曹丕
玄德大,66,NOISE
魯肅,64,鲁肃
張翼,63,张翼
袁術,62,袁术
太史慈,59,太史慈
諸葛,58,诸葛亮
陸遜,57,陆逊
吳侯,56,孙权
孟達,56,孟达
曹真,56,曹真
汝二人,55,NOISE
呂蒙,55,吕蒙
太后,53,NOISE
司馬昭,53,司马昭
劉表,52,刘表
蔡瑁,51,蔡瑁
郭淮,50,郭淮
劉玄德,49,刘备
廖化,49,廖化
張嶷,49,张嶷
楊儀,49,杨仪
夏侯霸,49,夏侯霸
孫乾,48,孙乾
張昭,46,张昭
孔明笑,46,NOISE
許褚,45,许褚
老夫,44,NOISE
賈詡,43,贾诩
糜竺,43,糜竺
陳宮,42,陈宫
操大喜,41,NOISE
程昱,41,程昱
馬忠,41,马忠
李典,39,李典
魏主曹,37,NOISE
安民,36,NOISE
韓遂,36,韩遂
龐統,36,庞统
張魯,35,张鲁
漢中王,35,刘备
鄧芝,35,邓芝
諸侯,34,NOISE
諸葛瑾,34,诸葛瑾
公孫瓚,33,公孙瓒
士卒,33,NOISE
太尉,33,NOISE
黃祖,33,黄祖
司馬師,33,司马师
白旗,32,NOISE
關某,32,关羽
孔明之,32,NOISE
孫堅,31,孙坚
孔明自,31,NOISE
程普,30,程普
公瑾,30,周瑜
糜芳,30,糜芳
劉封,30,刘封
武侯,30,诸葛亮
侍中,29,NOISE
黃蓋,29,黄盖
操大怒,29,NOISE
嚴顏,29,严颜
都尉,28,NOISE
許昌,28,NOISE
玄德自,28,NOISE
阿斗,28,刘禅
潘璋,28,潘璋
徐盛,28,徐盛
曹休,28,曹休
魏王,28,曹操
孟獲,28,孟获
一聲,27,NOISE
仰天,27,NOISE
陳倉,27,NOISE
南征,27,NOISE
袁譚,27,NOISE
魏軍,27,NOISE
曹爽,26,NOISE
玄德乃,25,NOISE
馬騰,25,NOISE
童子,25,NOISE
傅士仁,25,NOISE
李儒,24,NOISE
諸軍,24,NOISE
楊奉,24,NOISE
玄德聞,24,NOISE
蔣欽,24,NOISE
孔明乃,24,NOISE
夏侯尚,24,NOISE
馬謖,24,NOISE
弓弩,23,NOISE
趙子龍,23,赵云
子龍,23,赵云
官渡,23,NOISE
張松,23,NOISE
馬懿,23,司马懿
賈充,23,NOISE
立功,22,NOISE
招安,22,NOISE
周泰,22,NOISE
陳泰,22,NOISE
公卿,21,NOISE
劉曄,21,NOISE
小舟,21,NOISE
關興,21,NOISE
陳留王,20,NOISE
徐徐,20,NOISE
小沛,20,NOISE
王朗,20,NOISE
曹丞相,20,NOISE
袁尚,20,NOISE
凌統,20,NOISE
劉琮,20,NOISE
丁奉,20,NOISE
魏延引,20,NOISE
蔣琬,20,NOISE
壽春,19,NOISE
董承,19,NOISE
王忠,19,NOISE
劉琦,19,NOISE
孔明入,19,NOISE
吳懿,19,NOISE
魏寨,19,NOISE
吳班,19,NOISE
魏主,19,NOISE
高翔,19,NOISE
高祖,18,NOISE
玄德引,18,NOISE
玉璽,18,NOISE
英勇,18,NOISE
郭圖,18,NOISE
華歆,18,NOISE
孫桓,18,NOISE
吳主,18,NOISE
陶謙,17,NOISE
劉繇,17,NOISE
齊鳴,17,NOISE
呂範,17,NOISE
陳武,17,NOISE
白虎,17,NOISE
簡雍,17,NOISE
周郎,17,周瑜
陳式,17,NOISE
鄧忠,17,NOISE
沈吟,16,NOISE
王允,16,NOISE
袁氏,16,NOISE
陳登,16,NOISE
高順,16,NOISE
曹公,16,NOISE
左將軍,16,NOISE
同宗,16,NOISE
蔡夫人,16,NOISE
徐母,16,NOISE
朱然,16,NOISE
孫禮,16,NOISE
於山,15,NOISE
西涼,15,NOISE
玄德之,15,NOISE
樊稠,15,NOISE
田豐,15,NOISE
張虎,15,NOISE
伏於,15,NOISE
郭嘉,15,NOISE
董襲,15,NOISE
吉平,15,NOISE
趙雲引,15,NOISE
孔明遂,15,NOISE
徐盛丁,15,NOISE
楊松,15,NOISE
仲達,15,司马懿
崔諒,15,NOISE
鄭文,15,NOISE
皇甫嵩,14,NOISE
玄德見,14,NOISE
司馬,14,NOISE
郭汜,14,NOISE
張翼德,14,张飞
曹豹,14,NOISE
玄德入,14,NOISE
李樂,14,NOISE
玄德玄德,14,NOISE
汝乃,14,NOISE
張繡,14,NOISE
糜夫人,14,NOISE
孔明教,14,NOISE
楊懷,14,NOISE
李嚴,14,NOISE
姜維引,14,NOISE
張寶,13,NOISE
玄德正,13,NOISE
楊彪,13,NOISE
曹氏,13,NOISE
張濟,13,NOISE
餘合,13,NOISE
施禮,13,NOISE
玄德具,13,NOISE
郝萌,13,NOISE
韓暹,13,NOISE
謝恩,13,NOISE
公大怒,13,NOISE
明白,13,NOISE
言正合,13,NOISE
太甚,13,NOISE
劉景升,13,刘表
呂曠,13,NOISE
曹植,13,NOISE
孔明回,13,NOISE
孫權權,13,孙权
吳蘭,13,NOISE
張任,13,NOISE
郝昭,13,NOISE
公孫淵,13,NOISE
李肅,12,NOISE
華雄,12,NOISE
