Extracted_Name,Frequency,Main_Name_Mapping
宋江,2762,宋江
李逵,1112,李逵
武松,1048,武松
梁山泊,515,NOISE
盧俊義,497,卢俊义
宋江道,464,NOISE
呼延,336,呼延灼
燕青,317,燕青
晁蓋,290,晁盖
戴宗,288,戴宗
王慶,284,王庆
太尉,279,NOISE
李俊,255,李俊
和尚,237,NOISE
花榮,223,花荣
高太尉,210,高俅
楊雄,209,杨雄
張順,198,张顺
秦明,196,秦明
宋公明,190,宋江
朱仝,179,朱仝
公孫勝,179,公孙胜
太公,174,NOISE
楊志,171,杨志
石秀,171,石秀
相公,160,NOISE
宋先鋒,160,宋江
張清,147,张清
解珍解,136,NOISE
喬道清,134,乔道清
施恩,133,施恩
宿太尉,129,宿元景
大官人,125,NOISE
朱武,118,朱武
徐寧,118,徐宁
招安,117,NOISE
宋江便,116,NOISE
阮小七,112,阮小七
童貫,111,童贯
宋兵,110,NOISE
吳用,108,吴用
戴宗道,108,NOISE
莊客,107,NOISE
劉唐,105,刘唐
梁中書,103,梁中书
李袞,100,李衮
黃信,99,黄信
小可,97,NOISE
侍郎,97,NOISE
盧先鋒,93,卢俊义
柴大官人,88,柴进
雷橫,88,雷横
阮小二,88,阮小二
楊林,88,杨林
林子,86,NOISE
項充,84,项充
黃文炳,81,黄文炳
孫立,81,孙立
田虎,81,田虎
孫安,79,孙安
郝思文,77,郝思文
李師師,77,李师师
張橫,76,张横
安道全,76,安道全
湯隆,74,汤隆
董平,74,董平
王婆,73,王婆
阮小五,70,阮小五
柴進,69,柴进
郭盛,69,郭盛
石秀道,69,NOISE
樊瑞,68,樊瑞
朱貴,67,朱贵
燕順,67,燕顺
祝家莊,67,NOISE
索超,65,索超
馬軍,65,NOISE
孫勝,64,NOISE
何濤,64,何涛
關勝,64,关胜
何九叔,63,何九叔
石勇,63,石勇
鮑旭,61,鲍旭
王英,60,王英
歐鵬,59,欧鹏
陳安撫,59,NOISE
白勝,58,白胜
李忠,57,李忠
李固,57,李固
韓滔,56,韩滔
史文恭,56,史文恭
宋軍,56,NOISE
魯達,55,鲁智深
仁兄,55,NOISE
馬麟,54,马麟
扈三娘,54,扈三娘
陳達,53,陈达
張青,53,张青
那婆子,52,NOISE
鄧飛,52,邓飞
蔣門神,51,蒋门神
李助,51,李助
馬靈,48,马灵
史進,47,史进
王倫,46,王伦
金沙,46,NOISE
楊志道,46,NOISE
宋清,46,宋清
唐斌,46,唐斌
楊春,45,杨春
蔡京,45,蔡京
蔡太師,44,蔡京
吳用道,44,NOISE
郁保四,44,郁保四
宋太公,42,NOISE
神行太保,42,戴宗
杜遷,41,杜迁
梁山,41,NOISE
